state_name,district_name,mandal_name,village_name,crop_name,disease_name,affected_area_acres,total_crop_area_acres,disease_incidence_percent,severity_level,affected_farmers,season
Andhra Pradesh,West Godavari,Narasapuram,Pedapadu,Turmeric,Leaf Spot,430.28,2480.0,17.35,Medium,835,Rabi
Andhra Pradesh,Annamayya,Rayachoti,Annavaram,Cotton,Pink Bollworm,633.0,1964.0,32.23,High,468,Kharif
Andhra Pradesh,NTR,Vijayawada Rural,Venkannapalem,Paddy (Rice),Blast,1243.92,2169.0,57.35,Severe,189,Kharif
Andhra Pradesh,Prakasam,Chimakurthy,Chinakakani,Chilli,Anthracnose,449.1,730.0,61.52,Severe,390,Rabi
Andhra Pradesh,NTR,Gannavaram,Ramapuram,Paddy (Rice),Sheath Blight,549.32,1015.0,54.12,Severe,624,Kharif
Andhra Pradesh,Annamayya,Rayachoti,Pedapadu,Maize,Downy Mildew,133.46,402.0,33.2,High,759,Rabi
Andhra Pradesh,Nandyal,Nandyal_Mandal_7,Nandyal_Village_46,Turmeric,Leaf Blotch,324.87,999.58,32.5,Low,84,Zaid
Andhra Pradesh,Prakasam,Markapur,Dulla,Paddy (Rice),Bacterial Leaf Blight,21.45,865.0,2.48,Low,551,Kharif
Andhra Pradesh,Guntur,Tadikonda,Ramapuram,Onion,Purple Blotch,3.2,308.0,1.04,Low,738,Rabi
Andhra Pradesh,NTR,Vijayawada Rural,Dulla,Tomato,Early Blight,631.16,2272.0,27.78,High,889,Kharif
Andhra Pradesh,Sri Sathya Sai,Sri Sathya Sai_Mandal_10,Sri Sathya Sai_Village_36,Sugarcane,Smut,237.27,292.47,81.13,Medium,393,Kharif
Andhra Pradesh,Annamayya,Rayachoti,Venkannapalem,Paddy (Rice),Brown Spot,1190.38,2175.0,54.73,Severe,743,Rabi
Andhra Pradesh,Ananthapuramu,Ananthapuramu_Mandal_5,Ananthapuramu_Village_4,Rice,Bacterial Blight,121.27,595.45,20.37,Low,365,Kharif
Andhra Pradesh,NTR,Vijayawada Rural,Pedapadu,Sugarcane,Red Rot,214.49,1018.0,21.07,Medium,143,Kharif
Andhra Pradesh,Guntur,Amaravathi,Kothapalli,Chilli,Leaf Curl Virus,1034.22,2802.0,36.91,High,387,Kharif
Andhra Pradesh,East Godavari,Rajanagaram,Kothapalli,Mango,Anthracnose,384.94,1146.0,33.59,High,724,Rabi
Andhra Pradesh,Prakasam,Chimakurthy,Pedapadu,Maize,Turcicum Leaf Blight,174.37,378.0,46.13,High,480,Summer
Andhra Pradesh,NTR,Kanchikacherla,Lingapuram,Cotton,Leaf Curl Virus,1899.14,2781.0,68.29,Severe,32,Kharif
Andhra Pradesh,Prakasam,Markapur,Lingapuram,Sugarcane,Smut,908.39,1927.0,47.14,High,817,Rabi
Andhra Pradesh,Guntur,Tadikonda,Lingapuram,Cotton,Pink Bollworm,171.65,480.0,35.76,High,877,Kharif
Andhra Pradesh,Bapatla,Bapatla_Mandal_7,Bapatla_Village_35,Mango,Sooty Mold,65.52,1021.27,6.42,Medium,191,Rabi
Andhra Pradesh,Prakasam,Ongole,Ramapuram,Banana,Panama Wilt,285.95,507.0,56.4,Severe,630,Rabi
Andhra Pradesh,Guntur,Mangalagiri,Venkannapalem,Groundnut,Rust,59.64,1410.0,4.23,Low,393,Summer
Andhra Pradesh,Prakasam,Markapur,Pedapadu,Chilli,Anthracnose,510.7,1965.0,25.99,High,796,Summer
Andhra Pradesh,Guntur,Amaravathi,Venkannapalem,Cotton,Leaf Curl Virus,169.83,502.0,33.83,High,108,Kharif
Andhra Pradesh,Chittoor,Chittoor_Mandal_5,Chittoor_Village_30,Groundnut,Collar Rot,217.18,819.72,26.49,High,288,Rabi
Andhra Pradesh,West Godavari,Palacole,Kothapalli,Tomato,Late Blight,928.97,2506.0,37.07,High,387,Kharif
Andhra Pradesh,East Godavari,Seethanagaram,Konidela,Paddy (Rice),Sheath Blight,636.1,1663.0,38.25,High,753,Rabi
Andhra Pradesh,Krishna,Machilipatnam,Konidela,Maize,Turcicum Leaf Blight,201.12,1783.0,11.28,Medium,119,Kharif
Andhra Pradesh,Ananthapuramu,Ananthapuramu_Mandal_4,Ananthapuramu_Village_24,Sugarcane,Red Rot,438.42,1196.99,36.63,High,444,Rabi
Andhra Pradesh,Prakasam,Chimakurthy,Pedapadu,Turmeric,Rhizome Rot,386.13,810.0,47.67,High,260,Rabi
Andhra Pradesh,East Godavari,Seethanagaram,Dulla,Sugarcane,Smut,63.3,120.0,52.75,Severe,184,Kharif
Andhra Pradesh,Ananthapuramu,Ananthapuramu_Mandal_8,Ananthapuramu_Village_4,Sugarcane,Smut,88.41,358.17,24.68,Low,374,Zaid
Andhra Pradesh,Annamayya,Pileru,Venkannapalem,Jowar (Sorghum),Grain Mold,1360.51,2012.0,67.62,Severe,443,Summer
Andhra Pradesh,Tirupati,Tirupati_Mandal_2,Tirupati_Village_36,Tomato,Leaf Curl,334.34,381.76,87.58,Low,362,Zaid
Andhra Pradesh,Kurnool,Banaganapalle,Ramapuram,Onion,Purple Blotch,284.75,1675.0,17.0,Medium,74,Summer
Andhra Pradesh,Krishna,Machilipatnam,Lingapuram,Cotton,Pink Bollworm,30.34,1564.0,1.94,Low,618,Rabi
Andhra Pradesh,Annamayya,Pileru,Annavaram,Tomato,Leaf Curl Virus,333.01,1847.0,18.03,Medium,406,Rabi
Andhra Pradesh,East Godavari,Seethanagaram,Chinakakani,Maize,Turcicum Leaf Blight,249.31,1044.0,23.88,Medium,746,Rabi
Andhra Pradesh,YSR Kadapa,YSR Kadapa_Mandal_4,YSR Kadapa_Village_37,Chilli,Leaf Curl Virus,80.44,488.36,16.47,High,118,Rabi
Andhra Pradesh,West Godavari,Bhimavaram,Dulla,Chilli,Anthracnose,599.81,1022.0,58.69,Severe,610,Rabi
Andhra Pradesh,NTR,Kanchikacherla,Pedapadu,Onion,Stemphylium Blight,1884.92,2823.0,66.77,Severe,336,Kharif
Andhra Pradesh,NTR,Vijayawada Rural,Valasapalle,Onion,Purple Blotch,24.77,650.0,3.81,Low,260,Summer
Andhra Pradesh,Visakhapatnam,Visakhapatnam_Mandal_8,Visakhapatnam_Village_33,Tomato,Leaf Curl,468.45,997.6,46.96,High,316,Rabi
Andhra Pradesh,Annamayya,Madanapalle,Kothapalli,Onion,Stemphylium Blight,627.03,1428.0,43.91,High,548,Kharif
Andhra Pradesh,East Godavari,Rajanagaram,Venkannapalem,Chilli,Leaf Curl Virus,74.82,1383.0,5.41,Low,101,Rabi
Andhra Pradesh,NTR,Gannavaram,Mallavaram,Turmeric,Leaf Spot,542.17,2945.0,18.41,Medium,864,Summer
Andhra Pradesh,NTR,Kanchikacherla,Chinakakani,Onion,Purple Blotch,579.63,1219.0,47.55,High,909,Rabi
Andhra Pradesh,West Godavari,Palacole,Lingapuram,Onion,Purple Blotch,949.98,2612.0,36.37,High,174,Kharif
Andhra Pradesh,Guntur,Amaravathi,Ramapuram,Paddy (Rice),Sheath Blight,523.83,838.0,62.51,Severe,527,Kharif
Andhra Pradesh,Prakasam,Markapur,Annavaram,Paddy (Rice),Brown Spot,744.91,2697.0,27.62,High,967,Rabi
Andhra Pradesh,Prakasam,Chimakurthy,Konidela,Banana,Panama Wilt,437.42,2651.0,16.5,Medium,20,Summer
Andhra Pradesh,Guntur,Mangalagiri,Pedapadu,Cotton,Leaf Curl Virus,223.55,1062.0,21.05,Medium,548,Summer
Andhra Pradesh,Parvathipuram Manyam,Parvathipuram Manyam_Mandal_3,Parvathipuram Manyam_Village_22,Chilli,Die Back,331.85,1287.91,25.77,High,251,Zaid
Andhra Pradesh,Alluri Sitharama Raju,Alluri Sitharama Raju_Mandal_9,Alluri Sitharama Raju_Village_21,Onion,Bulb Rot,205.04,644.85,31.8,Medium,383,Zaid
Andhra Pradesh,NTR,Gannavaram,Kothapalli,Jowar (Sorghum),Anthracnose,306.89,1573.0,19.51,Medium,204,Summer
Andhra Pradesh,NTR,Vijayawada Rural,Annavaram,Onion,Stemphylium Blight,134.86,2366.0,5.7,Low,126,Rabi
Andhra Pradesh,Guntur,Mangalagiri,Venkannapalem,Tomato,Early Blight,215.82,2398.0,9.0,Low,440,Summer
Andhra Pradesh,Guntur,Amaravathi,Valasapalle,Jowar (Sorghum),Anthracnose,468.82,739.0,63.44,Severe,183,Rabi
Andhra Pradesh,Guntur,Mangalagiri,Chinakakani,Sugarcane,Red Rot,10.18,200.0,5.09,Low,171,Summer
Andhra Pradesh,Guntur,Mangalagiri,Konidela,Turmeric,Rhizome Rot,50.36,1142.0,4.41,Low,984,Kharif
Andhra Pradesh,NTR,Vijayawada Rural,Konidela,Jowar (Sorghum),Grain Mold,121.87,535.0,22.78,Medium,324,Summer
Andhra Pradesh,Guntur,Amaravathi,Venkannapalem,Sugarcane,Smut,275.34,1683.0,16.36,Medium,244,Kharif
Andhra Pradesh,Visakhapatnam,Visakhapatnam_Mandal_10,Visakhapatnam_Village_29,Rice,Brown Spot,180.98,745.11,24.29,Low,487,Rabi
Andhra Pradesh,West Godavari,Palacole,Venkannapalem,Paddy (Rice),Bacterial Leaf Blight,165.7,2626.0,6.31,Low,569,Kharif
Andhra Pradesh,Guntur,Tadikonda,Ramapuram,Paddy (Rice),Blast,777.04,2032.0,38.24,High,238,Summer
Andhra Pradesh,Krishna,Gudivada,Kothapalli,Mango,Powdery Mildew,35.54,183.0,19.42,Medium,10,Kharif
Andhra Pradesh,Guntur,Amaravathi,Valasapalle,Sugarcane,Smut,416.48,2349.0,17.73,Medium,863,Kharif
Andhra Pradesh,Prakasam,Ongole,Chinakakani,Paddy (Rice),Bacterial Leaf Blight,37.74,247.0,15.28,Medium,934,Rabi
Andhra Pradesh,Ananthapuramu,Ananthapuramu_Mandal_9,Ananthapuramu_Village_16,Mango,Powdery Mildew,33.06,66.48,49.73,Low,289,Zaid
Andhra Pradesh,East Godavari,Rajanagaram,Kothapalli,Sugarcane,Smut,189.72,491.0,38.64,High,157,Kharif
Andhra Pradesh,Kurnool,Panyam,Dulla,Turmeric,Rhizome Rot,362.6,740.0,49.0,High,23,Summer
Andhra Pradesh,NTR,Kanchikacherla,Annavaram,Maize,Turcicum Leaf Blight,1302.87,2438.0,53.44,Severe,34,Kharif
Andhra Pradesh,Parvathipuram Manyam,Parvathipuram Manyam_Mandal_10,Parvathipuram Manyam_Village_1,Tomato,Late Blight,203.42,1086.24,18.73,Medium,125,Zaid
Andhra Pradesh,West Godavari,Narasapuram,Venkannapalem,Paddy (Rice),Blast,490.52,755.0,64.97,Severe,182,Summer
Andhra Pradesh,Guntur,Mangalagiri,Lingapuram,Chilli,Leaf Curl Virus,1248.11,2718.0,45.92,High,956,Kharif
Andhra Pradesh,Prakasam,Markapur,Pedapadu,Tomato,Early Blight,816.92,2586.0,31.59,High,434,Kharif
Andhra Pradesh,Kakinada,Kakinada_Mandal_7,Kakinada_Village_7,Groundnut,Tikka Disease,304.88,469.79,64.9,High,446,Rabi
Andhra Pradesh,Guntur,Mangalagiri,Ramapuram,Tomato,Leaf Curl Virus,1998.61,2913.0,68.61,Severe,474,Rabi
Andhra Pradesh,Prakasam,Markapur,Pedapadu,Paddy (Rice),Bacterial Leaf Blight,405.89,604.0,67.2,Severe,44,Kharif
Andhra Pradesh,East Godavari,Rajanagaram,Kothapalli,Groundnut,Tikka Leaf Spot,808.41,1346.0,60.06,Severe,966,Rabi
Andhra Pradesh,West Godavari,Bhimavaram,Mallavaram,Jowar (Sorghum),Grain Mold,642.9,1526.0,42.13,High,514,Summer
Andhra Pradesh,Krishna,Pedana,Mallavaram,Chilli,Anthracnose,262.9,1638.0,16.05,Medium,770,Summer
Andhra Pradesh,Prakasam,Chimakurthy,Chinakakani,Tomato,Late Blight,912.91,1937.0,47.13,High,699,Rabi
Andhra Pradesh,East Godavari,Seethanagaram,Venkannapalem,Tomato,Early Blight,63.9,814.0,7.85,Low,77,Kharif
Andhra Pradesh,Nandyal,Nandyal_Mandal_4,Nandyal_Village_34,Sugarcane,Red Rot,35.15,294.79,11.92,Medium,402,Rabi
Andhra Pradesh,Prakasam,Chimakurthy,Mallavaram,Paddy (Rice),Brown Spot,191.4,2711.0,7.06,Low,16,Rabi
Andhra Pradesh,Ananthapuramu,Ananthapuramu_Mandal_4,Ananthapuramu_Village_8,Groundnut,Rust,99.64,530.26,18.79,Medium,288,Rabi
Andhra Pradesh,Prakasam,Markapur,Konidela,Turmeric,Rhizome Rot,62.33,385.0,16.19,Medium,469,Summer
Andhra Pradesh,Alluri Sitharama Raju,Alluri Sitharama Raju_Mandal_5,Alluri Sitharama Raju_Village_33,Mango,Anthracnose,266.74,492.89,54.12,High,312,Zaid
Andhra Pradesh,East Godavari,Rajanagaram,Pedapadu,Mango,Anthracnose,1098.7,1781.0,61.69,Severe,131,Rabi
Andhra Pradesh,Tirupati,Tirupati_Mandal_2,Tirupati_Village_12,Cotton,Wilt,219.07,564.57,38.8,Medium,74,Rabi
Andhra Pradesh,NTR,Gannavaram,Konidela,Turmeric,Rhizome Rot,1501.94,2378.0,63.16,Severe,222,Summer
Andhra Pradesh,Krishna,Pedana,Dulla,Chilli,Leaf Curl Virus,941.35,1644.0,57.26,Severe,677,Summer
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Dr. B.R. Ambedkar Konaseema_Mandal_8,Dr. B.R. Ambedkar Konaseema_Village_18,Groundnut,Rust,61.32,1050.62,5.84,Medium,208,Rabi
Andhra Pradesh,Annamayya,Madanapalle,Dulla,Tomato,Leaf Curl Virus,1083.35,1856.0,58.37,Severe,615,Rabi
Andhra Pradesh,East Godavari,Rajanagaram,Valasapalle,Banana,Panama Wilt,8.94,843.0,1.06,Low,576,Summer
Andhra Pradesh,NTR,Kanchikacherla,Konidela,Jowar (Sorghum),Grain Mold,1301.72,2378.0,54.74,Severe,339,Kharif
Andhra Pradesh,Prakasam,Chimakurthy,Lingapuram,Maize,Maydis Leaf Blight,511.67,1490.0,34.34,High,315,Kharif
Andhra Pradesh,NTR,Kanchikacherla,Mallavaram,Sugarcane,Red Rot,328.63,974.0,33.74,High,420,Summer
Andhra Pradesh,East Godavari,Rajanagaram,Kothapalli,Groundnut,Tikka Leaf Spot,121.94,1650.0,7.39,Low,190,Summer
Andhra Pradesh,West Godavari,Palacole,Mallavaram,Onion,Stemphylium Blight,242.83,501.0,48.47,High,799,Rabi
Andhra Pradesh,NTR,Vijayawada Rural,Kothapalli,Banana,Panama Wilt,1072.1,2468.0,43.44,High,391,Kharif
Andhra Pradesh,Anakapalli,Anakapalli_Mandal_9,Anakapalli_Village_1,Cotton,Leaf Curl,433.95,613.38,70.75,Low,222,Rabi
Andhra Pradesh,NTR,Gannavaram,Mallavaram,Banana,Panama Wilt,150.36,543.0,27.69,High,836,Kharif
Andhra Pradesh,West Godavari,Narasapuram,Dulla,Jowar (Sorghum),Grain Mold,72.28,2563.0,2.82,Low,996,Rabi
Andhra Pradesh,Krishna,Machilipatnam,Lingapuram,Turmeric,Leaf Spot,1129.02,2701.0,41.8,High,429,Summer
Andhra Pradesh,Guntur,Amaravathi,Lingapuram,Tomato,Late Blight,729.79,1152.0,63.35,Severe,380,Kharif
Andhra Pradesh,Annamayya,Rayachoti,Valasapalle,Onion,Stemphylium Blight,1604.62,2886.0,55.6,Severe,33,Kharif
Andhra Pradesh,East Godavari,Seethanagaram,Kothapalli,Cotton,Pink Bollworm,64.08,720.0,8.9,Low,159,Rabi
Andhra Pradesh,NTR,Vijayawada Rural,Dulla,Sugarcane,Red Rot,153.06,235.0,65.13,Severe,624,Rabi
Andhra Pradesh,NTR,Gannavaram,Venkannapalem,Sugarcane,Smut,605.82,2405.0,25.19,High,719,Kharif
Andhra Pradesh,Prakasam,Chimakurthy,Chinakakani,Cotton,Leaf Curl Virus,28.43,2516.0,1.13,Low,549,Kharif
Andhra Pradesh,West Godavari,Palacole,Konidela,Maize,Maydis Leaf Blight,1239.45,2808.0,44.14,High,116,Summer
Andhra Pradesh,West Godavari,Narasapuram,Konidela,Cotton,Leaf Curl Virus,564.78,2476.0,22.81,Medium,136,Rabi
Andhra Pradesh,Anakapalli,Anakapalli_Mandal_3,Anakapalli_Village_15,Cotton,Wilt,131.74,441.04,29.87,High,223,Rabi
Andhra Pradesh,Parvathipuram Manyam,Parvathipuram Manyam_Mandal_7,Parvathipuram Manyam_Village_29,Tomato,Leaf Curl,90.01,885.35,10.17,High,174,Kharif
Andhra Pradesh,NTR,Gannavaram,Chinakakani,Turmeric,Rhizome Rot,265.72,2555.0,10.4,Medium,163,Kharif
Andhra Pradesh,Annamayya,Pileru,Chinakakani,Tomato,Early Blight,459.34,1043.0,44.04,High,918,Kharif
Andhra Pradesh,Srikakulam,Srikakulam_Mandal_8,Srikakulam_Village_23,Rice,Blast,473.89,887.08,53.42,High,445,Zaid
Andhra Pradesh,West Godavari,Bhimavaram,Annavaram,Mango,Anthracnose,403.76,1665.0,24.25,Medium,415,Summer
Andhra Pradesh,East Godavari,Kadiam,Mallavaram,Sugarcane,Red Rot,665.68,2846.0,23.39,Medium,362,Summer
Andhra Pradesh,Guntur,Amaravathi,Dulla,Chilli,Leaf Curl Virus,1154.26,2376.0,48.58,High,538,Kharif
Andhra Pradesh,Krishna,Pedana,Venkannapalem,Chilli,Leaf Curl Virus,93.71,1032.0,9.08,Low,878,Rabi
Andhra Pradesh,West Godavari,Narasapuram,Konidela,Turmeric,Rhizome Rot,220.38,641.0,34.38,High,713,Rabi
Andhra Pradesh,Annamayya,Madanapalle,Ramapuram,Jowar (Sorghum),Anthracnose,736.61,1167.0,63.12,Severe,409,Summer
Andhra Pradesh,Annamayya,Madanapalle,Pedapadu,Cotton,Leaf Curl Virus,501.07,1668.0,30.04,High,174,Rabi
Andhra Pradesh,Visakhapatnam,Visakhapatnam_Mandal_1,Visakhapatnam_Village_30,Turmeric,Leaf Spot,359.28,838.72,42.84,Low,46,Rabi
Andhra Pradesh,West Godavari,Bhimavaram,Venkannapalem,Mango,Powdery Mildew,673.86,2275.0,29.62,High,108,Summer
Andhra Pradesh,Annamayya,Rayachoti,Ramapuram,Mango,Anthracnose,30.59,256.0,11.95,Medium,851,Rabi
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Dr. B.R. Ambedkar Konaseema_Mandal_6,Dr. B.R. Ambedkar Konaseema_Village_35,Onion,Stemphylium Blight,233.45,883.55,26.42,Medium,291,Zaid
Andhra Pradesh,Kurnool,Banaganapalle,Pedapadu,Mango,Anthracnose,20.88,928.0,2.25,Low,95,Rabi
Andhra Pradesh,Srikakulam,Srikakulam_Mandal_2,Srikakulam_Village_9,Rice,Blast,136.65,819.06,16.68,Medium,114,Zaid
Andhra Pradesh,West Godavari,Narasapuram,Venkannapalem,Chilli,Leaf Curl Virus,446.75,2360.0,18.93,Medium,62,Kharif
Andhra Pradesh,NTR,Gannavaram,Pedapadu,Groundnut,Rust,131.67,2979.0,4.42,Low,37,Summer
Andhra Pradesh,Annamayya,Pileru,Chinakakani,Maize,Downy Mildew,403.15,2164.0,18.63,Medium,806,Summer
Andhra Pradesh,Guntur,Amaravathi,Dulla,Mango,Anthracnose,1245.12,1798.0,69.25,Severe,589,Rabi
Andhra Pradesh,Parvathipuram Manyam,Parvathipuram Manyam_Mandal_6,Parvathipuram Manyam_Village_16,Chilli,Die Back,197.4,1171.39,16.85,High,146,Rabi
Andhra Pradesh,East Godavari,Seethanagaram,Kothapalli,Onion,Stemphylium Blight,1448.45,2276.0,63.64,Severe,203,Summer
Andhra Pradesh,Krishna,Pedana,Annavaram,Maize,Turcicum Leaf Blight,413.05,1292.0,31.97,High,375,Kharif
Andhra Pradesh,Krishna,Pedana,Mallavaram,Paddy (Rice),Blast,167.29,481.0,34.78,High,359,Summer
Andhra Pradesh,Guntur,Tadikonda,Mallavaram,Maize,Maydis Leaf Blight,181.22,549.0,33.01,High,332,Rabi
Andhra Pradesh,West Godavari,Narasapuram,Annavaram,Maize,Turcicum Leaf Blight,561.46,940.0,59.73,Severe,319,Rabi
Andhra Pradesh,Krishna,Gudivada,Pedapadu,Groundnut,Rust,665.28,966.0,68.87,Severe,256,Rabi
Andhra Pradesh,West Godavari,Palacole,Mallavaram,Mango,Anthracnose,214.72,1085.0,19.79,Medium,448,Rabi
Andhra Pradesh,East Godavari,Seethanagaram,Ramapuram,Paddy (Rice),Blast,87.27,685.0,12.74,Medium,816,Summer
Andhra Pradesh,Annamayya,Madanapalle,Mallavaram,Groundnut,Tikka Leaf Spot,779.07,1417.0,54.98,Severe,395,Summer
Andhra Pradesh,Chittoor,Chittoor_Mandal_9,Chittoor_Village_22,Sugarcane,Wilt,322.86,549.77,58.73,Medium,266,Rabi
Andhra Pradesh,Nandyal,Nandyal_Mandal_2,Nandyal_Village_5,Chilli,Die Back,349.82,1183.36,29.56,Low,101,Zaid
Andhra Pradesh,Krishna,Gudivada,Kothapalli,Maize,Turcicum Leaf Blight,117.02,469.0,24.95,Medium,922,Summer
Andhra Pradesh,East Godavari,Kadiam,Venkannapalem,Jowar (Sorghum),Grain Mold,1008.88,2056.0,49.07,High,9,Rabi
Andhra Pradesh,Annamayya,Madanapalle,Konidela,Chilli,Leaf Curl Virus,302.03,457.0,66.09,Severe,967,Kharif
Andhra Pradesh,NTR,Kanchikacherla,Valasapalle,Sugarcane,Red Rot,519.12,1304.0,39.81,High,579,Rabi
Andhra Pradesh,NTR,Gannavaram,Venkannapalem,Banana,Panama Wilt,194.42,357.0,54.46,Severe,320,Summer
